_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,BUILDER_NAME
183176,25 126757 BLD,00,Building Additions/Alterations,Hostel/Shelter,Multiple Projects,67,ADELAIDE,ST,E,M5C,8313241,S1338,2025-03-10,,,Issuance Pending,"Proposed alterations - construction of new suspended slab, removal and reconstruction of slab-on-grade & upper roof, installation of new interior partitions & finishes, alterations to existing plumbing, HVAC, and electrical, new exterior EFIS. ",Shelter,Shelter,0,0,15000000,0,0,0,0,0,0,2317,0,
183239,25 126757 PLB,00,Plumbing(PS),Hostel/Shelter,Building Permit Related(PS),67,ADELAIDE,ST,E,M5C,8313241,S1338,2025-03-10,,,Issuance Pending,"Plumbing  - Proposed alterations - construction of new suspended slab, removal and reconstruction of slab-on-grade & upper roof, installation of new interior partitions & finishes, alterations to existing plumbing, HVAC, and electrical, new exterior EFIS. ",Shelter,Shelter,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
183377,23 218467 HVA,01,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-12-11,2024-01-17,,Revision Issued,REVISION 01: Interior Renovation of Existing Office for Level 300 and 400HVAC - Proposed demolition of office space for tenant improvement,Stadium With Accessory Office,Stadium With Accessory Office (Vacant),,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
184074,20 106970 BLD,00,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2020-01-21,2020-02-21,,Inspection,Proposal for interior alterations to fit-out washrooms within tenant space at the 200 floor level.,Stadium,Stadium,0,0,80000,0,0,0,0,0,0,200,0,
186349,22 198612 BLD,00,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2022-09-01,2022-11-15,,Inspection,"Phase 1 -  ROGERS CENTRE LOWER BOWL REPLACEMENT PROJECT, INCLUDING RENOVATION OF EXISTING L000, L100, L200, AND L500 PROGRAMS, REPLACEMENT OF LOWER SEATING BOWL, AND ADDITION OF NEW L000 CLUBHOUSE AND PREMIUM CLUB AMENITIES.",Stadium,Stadium,0,0,"100,000,000",0,0,0,0,0,0,12043,0,
187041,16 194816 HVA,00,Mechanical(MS),Office,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2016-07-21,2016-08-16,,Inspection,"HVAC - Proposal for interior alterations to level 300 - ""Founder's Office Area"" in existing stadium - Rogers Centre.",Office,Office,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
187471,16 169213 HVA,00,Mechanical(MS),Arena,Building Permit Related(MS),40,BAY,ST, ,M5J,7929257,S1037,2016-06-07,2016-07-27,,Inspection,HVAC - Proposal for interior alterations 3rd level of the existing arena (Air Canada Centre),Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
187565,07 130553 HVA,00,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2007-03-30,2007-04-03,,Permit Issued,HVAC - Interior alterations to Argo's dressing room and Blue Jays weight room,Stadium,Same,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
187950,25 124561 FSU,00,Fire/Security Upgrade,Arena,Building Permit Related(FS),40,BAY,ST, ,M5J,7929257,S1037,2025-04-11,,,Application On Hold,"FS - Sprinkler Shop Drawing - Proposal for ScotiaBank Arena -  renovation to L200 ice plant, lobbies and lounge; L300 Upper Concourse incl. circulation, restrooms, concessions, retail spaces; L400 and L500 suites; extension of Atrium Elevators to L500 and L600 levels incl. new connections.",Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
189042,24 135183 BLD,01,Building Additions/Alterations,Arena,Interior Alterations,40,BAY,ST, ,M5J,7929257,S1037,2024-05-31,2024-06-10,,Revision Issued,"REV 01 - Revision to address Tunnel Club Longe areas excluded under original permit (Cross Reference 24 146100 ALT 00 AS)Proposed renovations to existing main concourse level including circulation, concessions, retail spaces; L200 Hot Stove Lounge; ,circulation areas, and  employee Locker Room areas. (EXCLUDING Event Level north club spaces,that are subject to Alternative Solution)",Arena,Arena,0,0,0,0,0,0,0,0,0,0,0,
