lat,lng,severity,acclass,year
43.636824,-79.414433,2,Non-Fatal Injury,2022
43.647951,-79.404286,2,Non-Fatal Injury,2022
43.67169,-79.341855,2,Non-Fatal Injury,2022
43.64184,-79.401852,2,Non-Fatal Injury,2022
43.658163,-79.385915,2,Non-Fatal Injury,2022
43.64876,-79.396352,2,Non-Fatal Injury,2022
43.677824,-79.35011,2,Non-Fatal Injury,2022
43.639536,-79.347294,2,Non-Fatal Injury,2022
43.655512,-79.411855,2,Non-Fatal Injury,2022
43.645483,-79.364285,2,Non-Fatal Injury,2022
43.649313,-79.422742,2,Non-Fatal Injury,2022
43.662306,-79.423665,2,Non-Fatal Injury,2022
43.654005,-79.362698,2,Non-Fatal Injury,2022
43.648482,-79.396252,2,Non-Fatal Injury,2022
43.645773,-79.410748,2,Non-Fatal Injury,2022
43.672063,-79.390492,2,Non-Fatal Injury,2022
43.650336,-79.37843,2,Non-Fatal Injury,2022
43.645659,-79.400594,2,Non-Fatal Injury,2022
43.632376,-79.410893,2,Non-Fatal Injury,2022
43.638579,-79.428822,2,Non-Fatal Injury,2022
43.641997,-79.37988,2,Non-Fatal Injury,2022
43.644316,-79.374989,2,Non-Fatal Injury,2022
43.656252,-79.388936,2,Non-Fatal Injury,2022
43.641688,-79.380948,2,Non-Fatal Injury,2022
43.670023,-79.42899,2,Property Damage Only,2022
43.655848,-79.391499,2,Non-Fatal Injury,2022
43.652369,-79.379224,2,Non-Fatal Injury,2022
43.631171,-79.429265,2,Non-Fatal Injury,2022
43.636423,-79.415784,2,Non-Fatal Injury,2022
43.63666,-79.414517,2,Non-Fatal Injury,2022
43.682493,-79.362988,2,Non-Fatal Injury,2022
43.649706,-79.374959,2,Non-Fatal Injury,2022
43.657664,-79.401334,2,Non-Fatal Injury,2022
43.666567,-79.35632,2,Non-Fatal Injury,2022
43.648947,-79.355069,2,Non-Fatal Injury,2022
43.648947,-79.355069,2,Non-Fatal Injury,2022
43.652685,-79.377606,2,Non-Fatal Injury,2022
43.662413,-79.376691,2,Non-Fatal Injury,2022
43.64379,-79.429196,2,Non-Fatal Injury,2022
43.665041,-79.411175,2,Non-Fatal Injury,2022
43.661982,-79.425626,2,Non-Fatal Injury,2022
43.673144,-79.414357,2,Non-Fatal Injury,2022
43.661509,-79.409741,2,Non-Fatal Injury,2022
43.654646,-79.421452,2,Non-Fatal Injury,2022
43.643286,-79.42291,2,Non-Fatal Injury,2022
43.683192,-79.346417,2,Non-Fatal Injury,2022
43.638747,-79.400578,2,Non-Fatal Injury,2022
43.643412,-79.391263,2,Non-Fatal Injury,2022
43.665648,-79.375508,2,Non-Fatal Injury,2022
43.641364,-79.414983,2,Non-Fatal Injury,2022
43.645506,-79.369794,2,Non-Fatal Injury,2022
43.662856,-79.421269,2,Non-Fatal Injury,2022
43.659552,-79.355397,2,Non-Fatal Injury,2021
43.653647,-79.396748,2,Non-Fatal Injury,2021
43.652239,-79.40598,2,Non-Fatal Injury,2021
43.662947,-79.383748,2,Non-Fatal Injury,2021
43.650522,-79.347615,2,Non-Fatal Injury,2021
43.646342,-79.361943,2,Non-Fatal Injury,2021
43.636412,-79.399609,2,Non-Fatal Injury,2021
43.653208,-79.359608,2,Non-Fatal Injury,2021
43.653208,-79.359608,2,Non-Fatal Injury,2021
43.64184,-79.401852,2,Non-Fatal Injury,2021
43.658922,-79.349286,2,Non-Fatal Injury,2021
43.652239,-79.40598,2,Non-Fatal Injury,2021
43.655276,-79.398968,2,Non-Fatal Injury,2021
43.661261,-79.389973,2,Non-Fatal Injury,2021
43.681242,-79.404118,2,Non-Fatal Injury,2021
43.641386,-79.380833,2,Non-Fatal Injury,2021
43.641386,-79.380833,2,Non-Fatal Injury,2021
43.654486,-79.363988,2,Non-Fatal Injury,2021
43.654486,-79.363988,2,Non-Fatal Injury,2021
43.65161,-79.382748,2,Non-Fatal Injury,2021
43.656637,-79.352528,2,Non-Fatal Injury,2021
43.646216,-79.408543,2,Non-Fatal Injury,2021
43.64173,-79.380688,2,Non-Fatal Injury,2021
43.660609,-79.374699,2,Non-Fatal Injury,2021
43.642672,-79.393903,2,Non-Fatal Injury,2021
43.645636,-79.370396,2,Non-Fatal Injury,2021
43.636385,-79.399609,2,Non-Fatal Injury,2021
43.657763,-79.359296,2,Non-Fatal Injury,2021
43.642664,-79.393887,2,Non-Fatal Injury,2021
43.650992,-79.346562,2,Non-Fatal Injury,2021
43.665507,-79.411366,2,Non-Fatal Injury,2021
43.652586,-79.357953,2,Non-Fatal Injury,2021
43.640597,-79.383137,2,Non-Fatal Injury,2021
43.640597,-79.383137,2,Non-Fatal Injury,2021
43.647055,-79.393704,2,Non-Fatal Injury,2021
43.67922,-79.344952,2,Non-Fatal Injury,2021
43.659201,-79.381184,2,Non-Fatal Injury,2021
43.636153,-79.410336,2,Non-Fatal Injury,2021
43.674635,-79.39288,2,Non-Fatal Injury,2021
43.653033,-79.397221,2,Non-Fatal Injury,2021
43.650465,-79.347722,2,Non-Fatal Injury,2021
43.646311,-79.384061,2,Non-Fatal Injury,2021
43.667704,-79.357983,2,Non-Fatal Injury,2021
43.649382,-79.389142,2,Non-Fatal Injury,2021
43.670489,-79.389806,2,Non-Fatal Injury,2021
43.6743,-79.399808,2,Non-Fatal Injury,2021
43.636412,-79.399609,2,Non-Fatal Injury,2021
43.673525,-79.349965,2,Non-Fatal Injury,2021
43.657488,-79.369,2,Non-Fatal Injury,2021
43.659735,-79.409047,2,Non-Fatal Injury,2021
43.686632,-79.401471,2,Non-Fatal Injury,2021
43.686632,-79.401471,2,Non-Fatal Injury,2021
43.680693,-79.348179,2,Non-Fatal Injury,2020
