intersection_id,desc,lat,lng
13469499,Meades Walk,43.624944,-79.383126
13469511,Meades Walk,43.624589,-79.381387
30056177,Island Airport,43.632334,-79.396168
30055557,Island Airport / Island Airport Ferry Route,43.63253,-79.396359
30056181,Island Airport,43.632213,-79.395861
13464302,Elmsley Pl / St Joseph St,43.665224,-79.389475
30127317,Garrison Crossing / Garrison Common Trl,43.638121,-79.408705
13469341,Ontario Place Bridge,43.628191,-79.415245
13469341,Ontario Place Bridge,43.628191,-79.415245
60001343,Lower Don River Trl,43.650811,-79.35011
13469310,Ontario Place Bridge,43.628634,-79.414563
13469310,Ontario Place Bridge,43.628634,-79.414563
13469350,Ontario Place Bridge,43.628067,-79.415351
13469350,Ontario Place Bridge,43.628067,-79.415351
30122232,Garrison Crossing / C N R / C P R,43.640117,-79.408471
30122232,Garrison Crossing / C N R / C P R,43.640117,-79.408471
20079397,Yarmouth Rd / Silver Barn Lane,43.670121,-79.420329
13469223,Ontario Place Bridge,43.63022,-79.414114
13469223,Ontario Place Bridge,43.63022,-79.414114
30037206,Remembrance Dr / Martin Goodman Trl,43.630819,-79.414648
30016292,Martin Goodman Trl,43.630839,-79.414512
30016295,Martin Goodman Trl,43.631054,-79.41438
30016298,Remembrance Dr / Martin Goodman Trl,43.631114,-79.414399
13468199,Strachan Ave / C N R / C P R,43.640224,-79.411242
13468199,Strachan Ave / C N R / C P R,43.640224,-79.411242
13469164,None,43.631075,-79.410385
13969590,Ontario Place Blvd / Remembrance Dr,43.63121,-79.410249
30125015,Ontario Place Blvd / Martin Goodman Trl / William G. Davis Trl,43.631159,-79.410219
30021891,Remembrance Dr / Martin Goodman Trl,43.632176,-79.408874
30021894,Martin Goodman Trl,43.632216,-79.408798
14254033,Pirandello St / East Liberty St,43.638671,-79.413956
30056242,Solidarity Way,43.638078,-79.412556
14063903,Princes' Blvd / Canada Blvd,43.634687,-79.40974
13468621,Strachan Ave / Manitoba Dr / Fleet St,43.636255,-79.409632
13468762,Princes' Blvd / Strachan Ave / Lakeshore W Princes Blvd Ramp,43.634875,-79.40906
30003472,Lower Don River Trl,43.653324,-79.349947
30003472,Lower Don River Trl,43.653324,-79.349947
13468719,Lake Shore Blvd W / Lakeshore W Princes Blvd Ramp,43.635272,-79.407617
13468521,Gardiner XWY / Strachan Ave,43.63742,-79.410079
13468521,Gardiner XWY / Strachan Ave,43.63742,-79.410079
13468430,Strachan Ave / C N R,43.638268,-79.410434
13468430,Strachan Ave / C N R,43.638268,-79.410434
30036723,Canoe Landing Park Trl,43.63807,-79.397329
30036743,Dan Leckie Way / Canoe Landing Park Trl,43.638809,-79.397759
30036726,Canoe Landing Park Trl,43.638845,-79.397641
30036843,Canoe Landing Park Trl,43.638623,-79.396815
13469121,None,43.631467,-79.402943
13469121,None,43.631467,-79.402943
13469040,Stadium Rd,43.632208,-79.400466
13460011,Lonsdale Rd / Warren Rd,43.689759,-79.407924
13468432,Gardiner XWY / Lake Shore Blvd W,43.638093,-79.396165
13468432,Gardiner XWY / Lake Shore Blvd W,43.638093,-79.396165
13463480,Bellair St / Critchley Lane,43.670042,-79.390807
13463426,Cumberland St / Bellair St,43.670323,-79.390915
13463382,Bay St / Cumberland St,43.670554,-79.389823
30056266,None,43.632955,-79.398278
30036778,Canoe Landing Park Trl,43.638476,-79.396309
13468406,Lake Shore Blvd W / Spadina S Gardiner Ramp,43.638273,-79.395738
13468406,Lake Shore Blvd W / Spadina S Gardiner Ramp,43.638273,-79.395738
30036721,Canoe Landing Park Trl,43.638631,-79.395629
13467654,King St W / Portland St,43.644443,-79.400061
20139597,Peter St / Jack Cooper Lane,43.648832,-79.393461
14674279,King St W / Waterloo Ter,43.644291,-79.40082
14037276,Logan Ave / Ln N Eastern W Logan,43.658769,-79.34177
14255079,Lake Shore Blvd W / Fort York Blvd / Coronation Park Trl,43.635481,-79.406714
13467825,Yonge St / Harbour St,43.642762,-79.375209
30070086,Coronation Park Trl / Martin Goodman Trl,43.634287,-79.404011
30006445,Martin Goodman Trl,43.634994,-79.403639
20054547,Gzowski Blvd / Fleet St,43.635945,-79.40429
30036718,Canoe Landing Park Trl,43.638695,-79.395374
13468367,Lake Shore Blvd W / Spadina S Lakeshore W Ramp,43.6386,-79.394844
13468362,Gardiner XWY / Spadina Ave,43.63863,-79.392267
13468362,Gardiner XWY / Spadina Ave,43.63863,-79.392267
13468146,Bremner Blvd / Van De Water Cres,43.64042,-79.388844
13464582,Allen Ave / Broadview Ave,43.663045,-79.351602
30017237,Clinton St,43.65622,-79.414256
30097614,Ontario St / Ontario Street Parkette Trl,43.657447,-79.367978
30064162,Don Valley Brick Works Trl,43.682195,-79.367376
13466651,Court St / Court Sq,43.650344,-79.375162
13469332,Algonquin Bridge Rd,43.627525,-79.357439
14018510,Gladstone Ave / Ln N Dundas E Dufferin,43.649959,-79.429949
13466900,Gladstone Ave / Dundas St W,43.649586,-79.429816
14018511,Gladstone Ave / Ln N Dundas E Gladstone,43.649897,-79.429924
13468104,Stafford St / Wellington St W,43.641019,-79.410237
13468186,Melbourne Ave / Dufferin St,43.640577,-79.427982
13460004,St Clair Ave E / Inglewood Dr,43.689524,-79.387308
60005551,David A Balfour Park Trl,43.68725,-79.385773
60005612,David A Balfour Park Trl,43.687231,-79.386016
13465206,Dundas St E / Poulett St,43.659275,-79.366683
13975175,Poulett St / Coatsworth St,43.658862,-79.366517
14020745,Dundas St E / Heads Lane,43.6593,-79.36658
13465985,Brigden Pl / Ontario St,43.654468,-79.366936
13465601,Montrose Ave,43.657431,-79.419349
13468085,Wellington St W / Garrison Crossing / Stanley Ter,43.641136,-79.40965
13464502,Borden St / Lennox St,43.664352,-79.408137
14021303,Borden St / Ln N Lennox W Borden,43.664969,-79.408368
13464300,Bloor St W / Croft St,43.665538,-79.409324
13464213,Bloor St W / Dalton Rd,43.666097,-79.406647
13460057,Deer Park Cres / Heath St W,43.689401,-79.398842
13460087,Oaklawn Gdns / Heath St W,43.689257,-79.399594
13460272,Delisle Ave / Deer Park Cres,43.688268,-79.398786
14018725,Rolyat St / Ln W Ossington N Rolyat / Ln W Ossington S Rolyat,43.648763,-79.421094
14018726,Rolyat St / Ln E Grove N Rolyat / Ln E Grove S Rolyat,43.648499,-79.422377
13465929,Queen St E / Seaton St,43.654854,-79.367925
13467090,Grove Ave / Rolyat St,43.648404,-79.422854
13467017,Ossington Ave / Rolyat St,43.648866,-79.420592
14023108,Allen Ave / Ln E Broadview N Allen Ave / Ln E Broadview S Allen Ave,43.663159,-79.351109
13460267,Forest Hill Rd / Heath St W,43.688369,-79.404011
13460726,St Clair Ave W / Dunvegan Rd,43.685979,-79.404754
13462735,Frichot Ave / McMurrich St,43.674551,-79.390187
14185160,Dalhousie St / Frank Natale Lane,43.656969,-79.376683
13465652,Dundas St E / Dalhousie St,43.656632,-79.376548
13468005,Queen St W / Noble St,43.642,-79.4297
20061845,Sackville Pl / Woodstock Pl,43.665943,-79.364753
20035289,Irene Jaskulka Lane / Bantry Ave,43.687236,-79.412844
13463818,Wellesley St E / Rose Ave,43.667896,-79.37091
14019764,Wellesley St E / Darling Lane,43.668073,-79.370092
13467236,Scott St / Scott Lane,43.646872,-79.375503
14018073,Crocker Ave / Ln W Claremont S Robinson,43.646707,-79.410453
13467136,Manning Ave / Robinson St,43.647871,-79.409155
13467302,Crocker Ave,43.646954,-79.40924
13467364,Crocker Ave / Bellwoods Ave,43.646577,-79.411071
13467330,Crocker Ave / Claremont St,43.646825,-79.409851
14019950,Clinton St / Huggins Family Lane,43.658464,-79.415128
13465381,Jersey Ave / Clinton St,43.658801,-79.415258
13465966,College St / Clinton St,43.655212,-79.413859
13468639,Temple Ave / Dufferin St,43.636324,-79.426351
20079148,Parkview Ave / Tweedy Lane,43.6698,-79.363717
13463534,Wellesley St E / Sumach St,43.669373,-79.364008
13464821,Carlton St / Church St,43.661874,-79.379343
13464925,Church St / Granby St,43.661253,-79.379094
14018215,Manning Ave / Desmond Lane,43.646642,-79.408702
13467410,Queen St W / Manning Ave,43.646282,-79.408567
30038677,Scollard St,43.67186,-79.391796
13463143,Bay St / Scollard St,43.672121,-79.390493
13463509,Wellesley St E / Parkview Ave,43.669473,-79.363566
13460483,Spadina Rd / Bantry Ave,43.687348,-79.41227
14025040,Walnut Ave / Ln S King W Niagara,43.642387,-79.408313
13465397,Gould St / Church St,43.6582,-79.377833
13466878,Commissioners St / Don Roadway,43.648676,-79.345028
13466635,Villiers St / Don Roadway,43.650111,-79.346241
30060812,Corktown Common Trl / C N R,43.65371,-79.350967
30060812,Corktown Common Trl / C N R,43.65371,-79.350967
13467107,Ryerson Ave / Ace Lane,43.648016,-79.40217
13460346,Standish Ave / Douglas Dr,43.687314,-79.370295
14066059,Manning Ave / Ln N Queen E Manning,43.646707,-79.408725
13467327,The Esplanade / Scott St,43.646323,-79.375264
13460072,St Clair Ave E / Yellow Creek,43.689223,-79.388726
13460072,St Clair Ave E / Yellow Creek,43.689223,-79.388726
14012456,Vermont Ave / Mourning Cloak Lane / Ln W Palmerston S Dupont,43.671474,-79.416912
14021243,Nassau St / Chinatown Mural Lane,43.655724,-79.399834
30036499,St Clair Ave E / David A Balfour Park Trl,43.68913,-79.389161
30036499,St Clair Ave E / David A Balfour Park Trl,43.68913,-79.389161
13467496,Queen St W / Walnut Ave,43.645721,-79.411249
13462584,Avenue Rd / Pears Ave,43.675554,-79.396919
13467504,Queen St W / Gore Vale Ave / Trinity Bellwoods Park Trl,43.645676,-79.411476
13462436,Avenue Rd / Chicora Ave,43.676362,-79.39725
13462384,Avenue Rd / Roxborough St W,43.676681,-79.397381
13463968,Queen's Park / Charles St W,43.66725,-79.393529
13466982,Spadina Ave / Queen St W,43.648742,-79.396371
14019340,Wolseley St / Ln E Ryerson N Wolseley,43.648512,-79.401869
13467002,Denison Ave / Wolseley St,43.648706,-79.400925
14019656,Wolseley St / Ln W Augusta N Wolseley,43.648807,-79.400423
13466991,Bathurst St / Robinson St,43.648819,-79.404611
30003372,Gardiner XWY / Lower Don River Trl,43.649024,-79.353998
30003372,Gardiner XWY / Lower Don River Trl,43.649024,-79.353998
20060245,Machells Ave / Joe Shuster Way,43.640836,-79.425284
30066964,Milky Way,43.641676,-79.429038
13467941,Dufferin St / C N R / C P R,43.642552,-79.428752
13467941,Dufferin St / C N R / C P R,43.642552,-79.428752
13462688,Bedford Rd / Pears Ave,43.674963,-79.399901
13467560,Queen St W / Strachan Ave / Trinity Dr,43.645343,-79.413187
13467589,Queen St W / Massey St,43.645182,-79.413958
13467621,Queen St W / Crawford St,43.644953,-79.415041
13461141,Arundel Ave / Fulton Ave,43.682869,-79.352641
14039394,Ln S Hepbourne W Delaware,43.65862,-79.427712
14039080,Billy Bryans Lane,43.657636,-79.42595
14014564,Dupont St / Designers Walk Lane,43.675975,-79.401878
13466455,Adelaide St E / Jarvis St / St. James Park Trl,43.651544,-79.372346
14039006,Billy Bryans Lane,43.658408,-79.426247
14039434,Billy Bryans Lane,43.658906,-79.426685
14039127,Billy Bryans Lane,43.658954,-79.426449
14039419,Billy Bryans Lane,43.658984,-79.426316
13463356,Yorkville Ave / Hazelton Ave,43.670751,-79.393038
14039413,Ln 1 N Dundas W Lakeview,43.649704,-79.423272
20078537,Ln E Dovercourt S Churchill,43.650996,-79.42483
20078527,Ln E Dovercourt S Churchill,43.651076,-79.424865
20035512,Ln E Gladstone S Argyle,43.643783,-79.426961
14040088,Ln N Queen E Northcote,43.643242,-79.425515
14046513,Ln W Spadina N Macpherson / Ln S Davenport E Walmer,43.676918,-79.408595
14018696,Dufferin St / Ln N Alma E Dufferin,43.645041,-79.429677
14017036,Alma Ave / Dufferin St,43.645097,-79.429699
14018889,Churchill Ave / Ln E Dovercourt S Churchill,43.651555,-79.42505
14038988,Ln E Dovercourt S Churchill / Ln W Lakeview S Churchill,43.651231,-79.42415
14014695,Walmer Rd / Ln S Davenport W Walmer,43.676774,-79.409094
20037102,Ln N Dundas E Lakeview,43.649953,-79.422154
20078556,Ln W Ossington S Baden,43.6497,-79.421875
20037075,Baden St / Ln N Dundas E Lakeview,43.649995,-79.421994
13466940,Dundas St W / Ossington Ave,43.649334,-79.420782
20078546,Baden St / Ln W Ossington S Baden,43.650076,-79.421636
14019840,Ossington Ave / Ln N Dundas E Ossington,43.649735,-79.420928
13466786,Ossington Ave / Baden St,43.650181,-79.421089
20037105,Ln N Dundas E Lakeview,43.650308,-79.422297
14018877,Harrison St / Ln W Ossington N Harrison,43.650717,-79.422648
14039013,Ln W Ossington N Harrison,43.651037,-79.422772
13466592,Ossington Ave / Ossington Cres,43.651443,-79.421577
14018888,Churchill Ave / Ln W Lakeview S Churchill,43.651698,-79.424307
13466527,Churchill Ave / Lakeview Ave,43.651815,-79.423702
13466493,Churchill Ave / Ossington Ave,43.651977,-79.421782
14019832,Ossington Ave / Ln 2 S College E Ossington,43.652631,-79.422027
20062420,Rocco Mandalfino Lane / Ln W Shaw S Dundas,43.649202,-79.418642
13462757,Rosedale Rd / Park Rd,43.674344,-79.383353
13467580,Waterloo Ave / Dufferin St,43.645474,-79.429846
13463546,Alpha Ave / Sackville St,43.669368,-79.366752
14046210,Eddy Lane,43.669681,-79.366289
20078540,Ln N Stonehouse W Gladstone / Ln E Dufferin N Stonehouse / Ln S Dundas E Federal,43.647972,-79.429996
20078515,Ln N Stonehouse W Gladstone / Ln W Gladstone N Stonehouse,43.648049,-79.429679
14018676,Dufferin St / Ln N Peel E Dufferin,43.644201,-79.429351
14039996,Ln 1 E Dufferin N Peel / Ln N Peel E Dufferin,43.644297,-79.428873
14039100,Ln N Dundas E Roxton / Ln W Shaw N Dundas,43.650115,-79.41907
13466833,Dundas St W / Shaw St / Trinity Bellwoods Park Trl,43.649825,-79.418288
14019394,Shaw St / Ln N Dundas W Crawford,43.650377,-79.41851
